epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2573.47,1.006,0.66601,1.13435,0.92537,0.89556,0.94714,0.72819,0.98498,0.49305,1.06917,0.00100459,0.00100459,0.00100459
62,2615.74,0.98776,0.66661,1.13373,0.92804,0.91149,0.95169,0.73231,0.98287,0.48963,1.06754,0.000997513,0.000997513,0.000997513
63,2657.83,0.97455,0.6459,1.12903,0.9405,0.90654,0.95296,0.73988,0.97975,0.47827,1.06121,0.00099044,0.00099044,0.00099044
64,2699.74,0.98549,0.65785,1.12966,0.92722,0.90613,0.95326,0.73496,0.98436,0.49608,1.05922,0.000983366,0.000983366,0.000983366
65,2741.8,0.97479,0.64992,1.12523,0.93446,0.90137,0.95504,0.73799,0.97288,0.48003,1.05228,0.000976293,0.000976293,0.000976293
66,2783.73,0.96047,0.62439,1.11976,0.94177,0.90836,0.95711,0.74273,0.98159,0.46477,1.06407,0.000969219,0.000969219,0.000969219
67,2825.59,0.97015,0.64861,1.11915,0.94261,0.89907,0.95034,0.7387,0.97318,0.47399,1.05898,0.000962146,0.000962146,0.000962146
68,2867.49,0.95382,0.63258,1.1167,0.92431,0.90514,0.95015,0.73887,0.9728,0.4733,1.06232,0.000955072,0.000955072,0.000955072
69,2909.52,0.9566,0.62104,1.1133,0.93147,0.91261,0.95796,0.75195,0.95491,0.45934,1.0502,0.000947999,0.000947999,0.000947999
70,2951.59,0.95413,0.62724,1.1167,0.9317,0.90257,0.95286,0.74174,0.95797,0.46989,1.04642,0.000940925,0.000940925,0.000940925
71,2993.77,0.94691,0.61988,1.11304,0.9249,0.90391,0.95074,0.74368,0.96865,0.4723,1.06354,0.000933851,0.000933851,0.000933851
72,3035.75,0.92047,0.61242,1.10351,0.94152,0.91778,0.95396,0.74871,0.96682,0.46219,1.05213,0.000926778,0.000926778,0.000926778
73,3077.45,0.93537,0.61603,1.10369,0.91225,0.92529,0.95176,0.74809,0.95307,0.4745,1.0506,0.000919704,0.000919704,0.000919704
74,3119.39,0.93954,0.61927,1.10328,0.93013,0.91626,0.95231,0.74388,0.96505,0.4666,1.05481,0.000912631,0.000912631,0.000912631
75,3161.23,0.93335,0.61023,1.09721,0.91918,0.9248,0.95068,0.75024,0.95167,0.46078,1.05461,0.000905557,0.000905557,0.000905557
76,3203.41,0.92514,0.59435,1.09774,0.92937,0.9141,0.95362,0.74675,0.95423,0.46339,1.04804,0.000898484,0.000898484,0.000898484
